sample_idx,silent_us,silent_ms,frame_bytes
485,131,0.131,23
486,131,0.131,23
487,129,0.129,23
488,173,0.173,23
489,132,0.132,23
490,139,0.139,23
491,132,0.132,23
492,130,0.13,23
493,131,0.131,23
494,130,0.13,23
495,129,0.129,23
496,133,0.133,23
497,131,0.131,23
498,128,0.128,23
499,132,0.132,23
500,131,0.131,23
501,128,0.128,23
502,132,0.132,23
503,132,0.132,23
504,131,0.131,23
505,134,0.134,23
506,130,0.13,23
507,132,0.132,23
508,131,0.131,23
509,132,0.132,23
510,133,0.133,23
511,132,0.132,23
512,134,0.134,23
513,141,0.141,23
514,130,0.13,23
515,129,0.129,23
516,127,0.127,23
517,128,0.128,23
518,127,0.127,23
519,132,0.132,23
520,136,0.136,23
521,133,0.133,23
522,132,0.132,23
523,130,0.13,23
524,131,0.131,23
525,132,0.132,23
526,132,0.132,23
527,135,0.135,23
528,133,0.133,23
529,131,0.131,23
530,132,0.132,23
531,130,0.13,23
532,131,0.131,23
533,131,0.131,23
534,126,0.126,23
535,135,0.135,23
536,132,0.132,23
537,130,0.13,23
538,130,0.13,23
539,130,0.13,23
540,132,0.132,23
541,131,0.131,23
542,137,0.137,23
543,131,0.131,23
544,132,0.132,23
545,130,0.13,23
546,131,0.131,23
547,130,0.13,23
548,130,0.13,23
549,136,0.136,23
550,131,0.131,23
551,128,0.128,23
552,129,0.129,23
553,131,0.131,23
554,130,0.13,23
555,140,0.14,23
556,131,0.131,23
557,135,0.135,23
558,131,0.131,23
559,132,0.132,23
560,132,0.132,23
561,126,0.126,23
562,129,0.129,23
563,203,0.203,23
564,133,0.133,23
565,127,0.127,23
566,133,0.133,23
567,133,0.133,23
568,131,0.131,23
569,131,0.131,23
570,146,0.146,23
571,139,0.139,23
572,133,0.133,23
573,133,0.133,23
574,133,0.133,23
575,131,0.131,23
576,133,0.133,23
577,130,0.13,23
578,135,0.135,23
579,132,0.132,23
580,132,0.132,23
581,131,0.131,23
582,127,0.127,23
583,132,0.132,23
584,132,0.132,23
585,132,0.132,23
586,137,0.137,23
587,131,0.131,23
588,131,0.131,23
589,132,0.132,23
590,130,0.13,23
591,130,0.13,23
592,131,0.131,23
593,137,0.137,23
594,132,0.132,23
595,131,0.131,23
596,138,0.138,23
597,131,0.131,23
598,132,0.132,23
599,130,0.13,23
600,136,0.136,23
601,131,0.131,23
602,130,0.13,23
603,130,0.13,23
604,133,0.133,23
605,131,0.131,23
606,133,0.133,23
607,126,0.126,23
608,134,0.134,23
609,132,0.132,23
610,127,0.127,23
611,131,0.131,23
612,126,0.126,23
613,131,0.131,23
614,131,0.131,23
615,136,0.136,23
616,133,0.133,23
617,129,0.129,23
618,129,0.129,23
619,129,0.129,23
620,132,0.132,23
621,130,0.13,23
622,132,0.132,23
623,136,0.136,23
624,132,0.132,23
625,129,0.129,23
626,131,0.131,23
627,126,0.126,23
628,133,0.133,23
629,127,0.127,23
630,138,0.138,23
631,130,0.13,23
632,131,0.131,23
633,132,0.132,23
634,132,0.132,23
635,129,0.129,23
636,132,0.132,23
637,134,0.134,23
638,132,0.132,23
639,129,0.129,23
640,132,0.132,23
641,131,0.131,23
642,131,0.131,23
643,132,0.132,23
644,151,0.151,23
645,143,0.143,23
646,128,0.128,23
647,132,0.132,23
648,133,0.133,23
649,127,0.127,23
650,131,0.131,23
651,132,0.132,23
652,137,0.137,23
653,131,0.131,23
654,131,0.131,23
655,132,0.132,23
656,132,0.132,23
657,130,0.13,23
658,132,0.132,23
659,134,0.134,23
660,132,0.132,23
661,132,0.132,23
662,130,0.13,23
663,130,0.13,23
664,132,0.132,23
665,130,0.13,23
666,131,0.131,23
667,137,0.137,23
668,130,0.13,23
669,131,0.131,23
670,129,0.129,23
671,132,0.132,23
672,132,0.132,23
673,130,0.13,23
674,132,0.132,23
675,128,0.128,23
676,130,0.13,23
677,131,0.131,23
678,132,0.132,23
679,131,0.131,23
680,131,0.131,23
681,131,0.131,23
682,132,0.132,23
683,131,0.131,23
684,132,0.132,23
685,130,0.13,23
686,130,0.13,23
687,130,0.13,23
688,130,0.13,23
689,135,0.135,23
690,131,0.131,23
691,130,0.13,23
692,132,0.132,23
693,133,0.133,23
694,132,0.132,23
695,129,0.129,23
696,134,0.134,23
697,136,0.136,23
698,132,0.132,23
699,131,0.131,23
700,133,0.133,23
701,132,0.132,23
702,133,0.133,23
703,129,0.129,23
704,136,0.136,23
705,132,0.132,23
706,131,0.131,23
707,132,0.132,23
708,130,0.13,23
709,126,0.126,23
710,132,0.132,23
711,134,0.134,23
712,133,0.133,23
713,131,0.131,23
714,130,0.13,23
715,132,0.132,23
716,131,0.131,23
717,130,0.13,23
718,135,0.135,23
